173;1574864568418;1574864568245
134;1574864568428;1574864568294
70;1574864568432;1574864568362
46;1574864568446;1574864568400
27;1574864568493;1574864568466
22;1574864568510;1574864568488
21;1574864568585;1574864568564
20;1574864568608;1574864568588
18;1574864568642;1574864568624
21;1574864568688;1574864568667
22;1574864568735;1574864568713
22;1574864568814;1574864568792
22;1574864568830;1574864568808
21;1574864568846;1574864568825
20;1574864568861;1574864568841
20;1574864568915;1574864568895
20;1574864568950;1574864568930
24;1574864569006;1574864568982
27;1574864569057;1574864569030
17;1574864569219;1574864569202
21;1574864569276;1574864569255
18;1574864569286;1574864569268
17;1574864569298;1574864569281
17;1574864569561;1574864569544
19;1574864569606;1574864569587
24;1574864569635;1574864569611
18;1574864569688;1574864569670
17;1574864569701;1574864569684
19;1574864569716;1574864569697
18;1574864569730;1574864569712
17;1574864569742;1574864569725
21;1574864569809;1574864569788
24;1574864569979;1574864569955
18;1574864570123;1574864570105
17;1574864570165;1574864570148
18;1574864570359;1574864570341
17;1574864570380;1574864570363
19;1574864570424;1574864570405
22;1574864570491;1574864570469
17;1574864570603;1574864570586
17;1574864570626;1574864570609
22;1574864570683;1574864570661
16;1574864570714;1574864570698
19;1574864570769;1574864570750
20;1574864570814;1574864570794
20;1574864570847;1574864570827
17;1574864570870;1574864570853
18;1574864570894;1574864570876
18;1574864570976;1574864570958
19;1574864571101;1574864571082
18;1574864571134;1574864571116
23;1574864571172;1574864571149
22;1574864571182;1574864571160
23;1574864571200;1574864571177
16;1574864571393;1574864571377
15;1574864571404;1574864571389
22;1574864571443;1574864571421
17;1574864571495;1574864571478
17;1574864571517;1574864571500
16;1574864571558;1574864571542
17;1574864571630;1574864571613
20;1574864571715;1574864571695
18;1574864571778;1574864571760
17;1574864571790;1574864571773
21;1574864571836;1574864571815
18;1574864571950;1574864571932
18;1574864572073;1574864572055
17;1574864572165;1574864572148
18;1574864572187;1574864572169
16;1574864572207;1574864572191
23;1574864572236;1574864572213
17;1574864572299;1574864572282
17;1574864572341;1574864572324
27;1574864572423;1574864572396
16;1574864572445;1574864572429
22;1574864572613;1574864572591
17;1574864572626;1574864572609
25;1574864572655;1574864572630
18;1574864572676;1574864572658
17;1574864572756;1574864572739
22;1574864572783;1574864572761
19;1574864572808;1574864572789
18;1574864572852;1574864572834
16;1574864572873;1574864572857
19;1574864572908;1574864572889
19;1574864572960;1574864572941
17;1574864572992;1574864572975
20;1574864573027;1574864573007
17;1574864573099;1574864573082
17;1574864573110;1574864573093
21;1574864573176;1574864573155
16;1574864573238;1574864573222
16;1574864573350;1574864573334
20;1574864573496;1574864573476
17;1574864573578;1574864573561
17;1574864573600;1574864573583
16;1574864573611;1574864573595
17;1574864573724;1574864573707
17;1574864573816;1574864573799
18;1574864573829;1574864573811
19;1574864573903;1574864573884
